,ID,Predicted,Actual,date,long,lat,residual,year,month,obs,iteration
1,21KAN001_WQX-SC587,0.053810547,0.056,10/8/2007,-99.37544,37.92791,0.002189453,2007,10,good,CONUS_alltypes_corrected
2,21KAN001_WQX-SC587,0.140374156,0.44,8/13/2007,-99.37544,37.92791,0.299625844,2007,8,good,CONUS_alltypes_corrected
3,21KAN001_WQX-SC587,0.066785979,0.085,6/15/2009,-99.37544,37.92791,0.018214021,2009,6,good,CONUS_alltypes_corrected
4,21KAN001_WQX-SC587,0.071211561,0.057,7/14/2008,-99.37544,37.92791,-0.014211561,2008,7,good,CONUS_alltypes_corrected
5,21KAN001_WQX-SC587,0.063008368,0.063,9/13/2004,-99.37544,37.92791,-8.37E-06,2004,9,good,CONUS_alltypes_corrected
6,21KAN001_WQX-SC587,0.04613749,0.021,3/21/2016,-99.37544,37.92791,-0.02513749,2016,3,good,CONUS_alltypes_corrected
7,21KAN001_WQX-SC587,0.047501206,0.021,3/21/2016,-99.37544,37.92791,-0.026501206,2016,3,good,CONUS_alltypes_corrected
8,21KAN001_WQX-SC587,0.06976293,0.042,11/3/2008,-99.37544,37.92791,-0.02776293,2008,11,good,CONUS_alltypes_corrected
9,COEOMAHA_WQX-MORRR0753A,0.172292735,0.16,10/19/2011,-96.71306,42.60431,-0.012292735,2011,10,good,CONUS_alltypes_corrected
10,COEOMAHA_WQX-MORRR0753A,0.13065371,0.11,7/8/2014,-96.71306,42.60431,-0.02065371,2014,7,good,CONUS_alltypes_corrected
11,COEOMAHA_WQX-MORRR0753A,0.13065371,0.11,7/8/2014,-96.71306,42.60431,-0.02065371,2014,7,good,CONUS_alltypes_corrected
12,COEOMAHA_WQX-MORRR0753A,0.172292735,0.13,10/19/2011,-96.71306,42.60431,-0.042292735,2011,10,good,CONUS_alltypes_corrected
13,COEOMAHA_WQX-MORRR0753A,0.06165485,0.09,9/7/2010,-96.71306,42.60431,0.02834515,2010,9,good,CONUS_alltypes_corrected
14,COEOMAHA_WQX-MORRR0753A,0.06165485,0.09,9/7/2010,-96.71306,42.60431,0.02834515,2010,9,good,CONUS_alltypes_corrected
15,COEOMAHA_WQX-MORRR0753A,0.13065371,0.1,7/8/2014,-96.71306,42.60431,-0.03065371,2014,7,good,CONUS_alltypes_corrected
16,COEOMAHA_WQX-MORRR0753A,0.13065371,0.1,7/8/2014,-96.71306,42.60431,-0.03065371,2014,7,good,CONUS_alltypes_corrected
17,COEOMAHA_WQX-MORRR0753A,0.172292735,0.18,10/19/2011,-96.71306,42.60431,0.007707265,2011,10,good,CONUS_alltypes_corrected
18,COEOMAHA_WQX-MORRR0753A,0.06165485,0.07,9/7/2010,-96.71306,42.60431,0.00834515,2010,9,good,CONUS_alltypes_corrected
19,COEOMAHA_WQX-MORRR0753A,0.06165485,0.07,9/7/2010,-96.71306,42.60431,0.00834515,2010,9,good,CONUS_alltypes_corrected
20,COEOMAHA_WQX-MORRR0753A,0.06165485,0.08,9/7/2010,-96.71306,42.60431,0.01834515,2010,9,good,CONUS_alltypes_corrected
21,COEOMAHA_WQX-MORRR0753A,0.06165485,0.08,9/7/2010,-96.71306,42.60431,0.01834515,2010,9,good,CONUS_alltypes_corrected
22,COEOMAHA_WQX-MORRR0753A,0.13065371,0.11,7/8/2014,-96.71306,42.60431,-0.02065371,2014,7,good,CONUS_alltypes_corrected
23,COEOMAHA_WQX-MORRR0753A,0.13065371,0.11,7/8/2014,-96.71306,42.60431,-0.02065371,2014,7,good,CONUS_alltypes_corrected
24,COEOMAHA_WQX-MORRR0753A,0.112335808,0.12,7/6/2005,-96.71306,42.60431,0.007664192,2005,7,good,CONUS_alltypes_corrected
25,COEOMAHA_WQX-MORRR0753A,0.055427974,0.01,9/3/2003,-96.71306,42.60431,-0.045427974,2003,9,good,CONUS_alltypes_corrected
26,COEOMAHA_WQX-MORRR0774B,0.096180499,0.08,10/19/2011,-96.94305,42.71458,-0.016180499,2011,10,good,CONUS_alltypes_corrected
27,COEOMAHA_WQX-MORRR0774B,0.097057696,0.12,8/6/2019,-96.94305,42.71458,0.022942304,2019,8,good,CONUS_alltypes_corrected
28,COEOMAHA_WQX-MORRR0774B,0.12792686,0.07,6/3/2013,-96.94305,42.71458,-0.05792686,2013,6,good,CONUS_alltypes_corrected
29,COEOMAHA_WQX-MORRR0774B,0.12792686,0.07,6/3/2013,-96.94305,42.71458,-0.05792686,2013,6,good,CONUS_alltypes_corrected
30,COEOMAHA_WQX-MORRR0774B,0.080939363,0.09,6/5/2017,-96.94305,42.71458,0.009060637,2017,6,good,CONUS_alltypes_corrected
31,COEOMAHA_WQX-MORRR0774B,0.087762062,0.07,9/7/2010,-96.94305,42.71458,-0.017762062,2010,9,good,CONUS_alltypes_corrected
32,COEOMAHA_WQX-MORRR0774B,0.087762062,0.07,9/7/2010,-96.94305,42.71458,-0.017762062,2010,9,good,CONUS_alltypes_corrected
33,COEOMAHA_WQX-MORRR0774B,0.079008853,0.05,10/11/2017,-96.94305,42.71458,-0.029008853,2017,10,good,CONUS_alltypes_corrected
34,COEOMAHA_WQX-MORRR0774B,0.433754538,0.03,8/3/2015,-96.94305,42.71458,-0.403754538,2015,8,bad,CONUS_alltypes_corrected
35,COEOMAHA_WQX-MORRR0774B,0.06624669,0.16,4/16/2007,-96.94305,42.71458,0.09375331,2007,4,good,CONUS_alltypes_corrected
36,COEOMAHA_WQX-MORRR0774B,0.555126331,0.28,5/10/2007,-96.94305,42.71458,-0.275126331,2007,5,good,CONUS_alltypes_corrected
37,COEOMAHA_WQX-MORRR0774B,0.524563022,0.28,5/10/2007,-96.94305,42.71458,-0.244563022,2007,5,good,CONUS_alltypes_corrected
38,COEOMAHA_WQX-MORRR0774B,0.050256046,0.06,2/21/2017,-96.94305,42.71458,0.009743954,2017,2,good,CONUS_alltypes_corrected
39,COEOMAHA_WQX-MORRR0774B,0.06208762,0.05,3/22/2004,-96.94305,42.71458,-0.01208762,2004,3,good,CONUS_alltypes_corrected
40,COEOMAHA_WQX-MORRR0774B,0.06935984,0.05,3/22/2004,-96.94305,42.71458,-0.01935984,2004,3,good,CONUS_alltypes_corrected
41,USGS-06308500,0.218246342,0.122,6/7/2000,-105.8455222,46.3845944,-0.096246342,2000,6,good,CONUS_alltypes_corrected
42,USGS-06308500,0.051797176,0.039,4/5/2000,-105.8455222,46.3845944,-0.012797176,2000,4,good,CONUS_alltypes_corrected
43,USGS-06308500,0.181451441,0.078,7/8/1999,-105.8455222,46.3845944,-0.103451441,1999,7,good,CONUS_alltypes_corrected
44,USGS-06308500,0.188306349,0.158,7/7/2008,-105.8455222,46.3845944,-0.030306349,2008,7,good,CONUS_alltypes_corrected
45,USGS-06329500,0.067158018,0.05,10/24/1989,-104.1554111,47.6774139,-0.017158018,1989,10,good,CONUS_alltypes_corrected
46,USGS-06329500,0.398939956,0.14,5/24/1994,-104.1554111,47.6774139,-0.258939956,1994,5,good,CONUS_alltypes_corrected
47,USGS-06329500,0.148516928,0.14,7/17/2014,-104.1554111,47.6774139,-0.008516928,2014,7,good,CONUS_alltypes_corrected
48,USGS-06329500,0.055111232,0.048,9/8/2004,-104.1554111,47.6774139,-0.007111232,2004,9,good,CONUS_alltypes_corrected
49,USGS-06329500,0.25767109,0.22,5/19/1998,-104.1554111,47.6774139,-0.03767109,1998,5,good,CONUS_alltypes_corrected
